(0, 0)
(61, 14)
(2, 6)
(0, 1)
(37, 2)
(61, 4)
(0, 2)
(25, 10)
(35, 9)
(0, 3)
(63, 7)
(12, 5)
(0, 4)
(26, 1)
(58, 13)
(0, 5)
(28, 14)
(22, 4)
(0, 6)
(40, 13)
(53, 1)
(0, 7)
(56, 3)
(46, 1)
(0, 8)
(33, 11)
(26, 1)
(0, 9)
(1, 9)
(5, 14)
(0, 10)
(35, 7)
(6, 11)
(0, 11)
(36, 2)
(50, 11)
(0, 12)
(14, 8)
(55, 8)
(0, 13)
(22, 8)
(7, 11)
(0, 14)
(42, 14)
(6, 4)
(0, 15)
(41, 3)
(30, 11)
(1, 0)
(25, 9)
(35, 15)
(1, 1)
(37, 6)
(42, 2)
(1, 2)
(47, 3)
(21, 13)
(1, 3)
(37, 4)
(9, 15)
(1, 4)
(44, 7)
(38, 7)
(1, 5)
(29, 14)
(6, 2)
(1, 6)
(37, 1)
(30, 1)
(1, 7)
(31, 14)
(3, 5)
(1, 8)
(7, 4)
(50, 1)
(1, 9)
(13, 13)
(0, 9)
(1, 10)
(24, 2)
(13, 5)
(1, 11)
(8, 15)
(35, 3)
(1, 12)
(26, 6)
(3, 7)
(1, 13)
(5, 11)
(6, 12)
(1, 14)
(61, 6)
(42, 10)
(1, 15)
(20, 11)
(37, 12)
(2, 0)
(35, 0)
(42, 7)
(2, 1)
(24, 3)
(12, 5)
(2, 2)
(60, 6)
(54, 5)
(2, 3)
(14, 9)
(48, 9)
(2, 4)
(38, 8)
(31, 1)
(2, 5)
(45, 14)
(54, 10)
(2, 6)
(0, 0)
(46, 4)
(2, 7)
(3, 13)
(6, 7)
(2, 8)
(42, 8)
(33, 6)
(2, 9)
(19, 6)
(18, 0)
(2, 10)
(34, 11)
(9, 1)
(2, 11)
(47, 7)
(35, 6)
(2, 12)
(49, 11)
(57, 5)
(2, 13)
(16, 15)
(48, 8)
(2, 14)
(49, 3)
(7, 14)
(2, 15)
(55, 5)
(42, 15)
(3, 0)
(37, 13)
(30, 1)
(3, 1)
(47, 0)
(61, 1)
(3, 2)
(15, 3)
(48, 5)
(3, 3)
(54, 11)
(44, 13)
(3, 4)
(19, 6)
(60, 14)
(3, 5)
(1, 7)
(15, 14)
(3, 6)
(37, 7)
(19, 9)
(3, 7)
(1, 12)
(41, 10)
(3, 8)
(20, 3)
(9, 5)
(3, 9)
(38, 13)
(61, 3)
(3, 10)
(48, 15)
(47, 5)
(3, 11)
(27, 3)
(48, 0)
(3, 12)
(28, 0)
(54, 15)
(3, 13)
(2, 7)
(41, 4)
(3, 14)
(24, 0)
(31, 2)
(3, 15)
(28, 13)
(24, 1)
(4, 0)
(59, 8)
(11, 9)
(4, 1)
(60, 10)
(12, 6)
(4, 2)
(60, 0)
(38, 5)
(4, 3)
(24, 11)
(43, 1)
(4, 4)
(29, 1)
(10, 11)
(4, 5)
(22, 3)
(21, 6)
(4, 6)
(42, 1)
(55, 0)
(4, 7)
(15, 1)
(4, 11)
(4, 8)
(20, 9)
(60, 1)
(4, 9)
(55, 15)
(21, 7)
(4, 10)
(11, 6)
(9, 9)
(4, 11)
(4, 7)
(44, 13)
(4, 12)
(48, 9)
(14, 9)
(4, 13)
(62, 10)
(47, 12)
(4, 14)
(6, 15)
(23, 10)
(4, 15)
(10, 9)
(36, 9)
(5, 0)
(61, 12)
(26, 4)
(5, 1)
(31, 0)
(9, 9)
(5, 2)
(5, 7)
(37, 8)
(5, 3)
(44, 14)
(17, 12)
(5, 4)
(51, 3)
(26, 8)
(5, 5)
(48, 2)
(15, 11)
(5, 6)
(58, 8)
(10, 13)
(5, 7)
(5, 2)
(25, 5)
(5, 8)
(33, 10)
(7, 0)
(5, 9)
(62, 1)
(49, 7)
(5, 10)
(63, 15)
(47, 10)
(5, 11)
(1, 13)
(51, 12)
(5, 12)
(62, 1)
(35, 4)
(5, 13)
(60, 14)
(32, 11)
(5, 14)
(0, 9)
(39, 1)
(5, 15)
(15, 13)
(46, 10)
(6, 0)
(29, 12)
(16, 10)
(6, 1)
(57, 6)
(46, 15)
(6, 2)
(29, 0)
(1, 5)
(6, 3)
(42, 6)
(59, 13)
(6, 4)
(38, 0)
(0, 14)
(6, 5)
(23, 12)
(16, 9)
(6, 6)
(52, 13)
(39, 0)
(6, 7)
(28, 1)
(17, 1)
(6, 8)
(13, 4)
(15, 8)
(6, 9)
(34, 0)
(19, 10)
(6, 10)
(62, 6)
(10, 11)
(6, 11)
(23, 6)
(10, 4)
(6, 12)
(16, 4)
(1, 13)
(6, 13)
(22, 0)
(34, 3)
(6, 14)
(51, 11)
(36, 3)
(6, 15)
(4, 14)
(19, 4)
(7, 0)
(52, 7)
(5, 8)
(7, 1)
(59, 7)
(30, 9)
(7, 2)
(53, 1)
(39, 10)
(7, 3)
(10, 7)
(27, 2)
(7, 4)
(1, 8)
(62, 0)
(7, 5)
(61, 9)
(59, 11)
(7, 6)
(56, 8)
(41, 5)
(7, 7)
(24, 6)
(31, 15)
(7, 8)
(51, 0)
(44, 6)
(7, 9)
(54, 4)
(46, 12)
(7, 10)
(60, 6)
(22, 7)
(7, 11)
(0, 13)
(31, 8)
(7, 12)
(33, 6)
(59, 8)
(7, 13)
(63, 0)
(27, 9)
(7, 14)
(2, 14)
(23, 2)
(7, 15)
(59, 0)
(30, 10)
(8, 0)
(43, 2)
(51, 8)
(8, 1)
(48, 11)
(38, 15)
(8, 2)
(29, 10)
(13, 3)
(8, 3)
(39, 15)
(56, 14)
(8, 4)
(18, 6)
(11, 12)
(8, 5)
(50, 7)
(59, 3)
(8, 6)
(60, 4)
(38, 6)
(8, 7)
(44, 5)
(13, 5)
(8, 8)
(57, 14)
(53, 8)
(8, 9)
(36, 1)
(19, 0)
(8, 10)
(24, 4)
(16, 14)
(8, 11)
(61, 6)
(36, 13)
(8, 12)
(18, 4)
(53, 12)
(8, 13)
(24, 7)
(32, 1)
(8, 14)
(29, 8)
(42, 11)
(8, 15)
(1, 11)
(56, 6)
(9, 0)
(48, 4)
(14, 5)
(9, 1)
(34, 11)
(17, 3)
(9, 2)
(27, 7)
(48, 7)
(9, 3)
(9, 15)
(62, 7)
(9, 4)
(55, 15)
(42, 14)
(9, 5)
(3, 8)
(9, 10)
(9, 6)
(35, 6)
(47, 7)
(9, 7)
(47, 3)
(19, 5)
(9, 8)
(56, 12)
(19, 15)
(9, 9)
(4, 10)
(11, 6)
(9, 10)
(40, 15)
(9, 5)
(9, 11)
(45, 2)
(42, 10)
(9, 12)
(35, 4)
(52, 10)
(9, 13)
(59, 5)
(17, 4)
(9, 14)
(10, 6)
(28, 0)
(9, 15)
(9, 3)
(1, 3)
(10, 0)
(15, 9)
(31, 15)
(10, 1)
(62, 5)
(18, 1)
(10, 2)
(15, 10)
(25, 15)
(10, 3)
(43, 3)
(48, 11)
(10, 4)
(23, 6)
(59, 1)
(10, 5)
(13, 11)
(19, 7)
(10, 6)
(41, 4)
(9, 14)
(10, 7)
(46, 4)
(7, 3)
(10, 8)
(17, 15)
(60, 13)
(10, 9)
(4, 15)
(35, 5)
(10, 10)
(20, 12)
(34, 2)
(10, 11)
(4, 4)
(6, 10)
(10, 12)
(22, 6)
(49, 9)
(10, 13)
(5, 6)
(48, 14)
(10, 14)
(22, 2)
(21, 1)
(10, 15)
(26, 8)
(26, 9)
(11, 0)
(35, 2)
(32, 14)
(11, 1)
(36, 11)
(17, 13)
(11, 2)
(30, 13)
(25, 6)
(11, 3)
(17, 7)
(42, 8)
(11, 4)
(29, 0)
(31, 11)
(11, 5)
(53, 3)
(19, 8)
(11, 6)
(4, 10)
(9, 9)
(11, 7)
(30, 13)
(47, 10)
(11, 8)
(54, 6)
(63, 10)
(11, 9)
(46, 5)
(50, 12)
(11, 10)
(30, 15)
(43, 14)
(11, 11)
(59, 9)
(52, 11)
(11, 12)
(21, 14)
(8, 4)
(11, 13)
(29, 2)
(43, 14)
(11, 14)
(31, 8)
(52, 6)
(11, 15)
(20, 1)
(29, 15)
(12, 0)
(59, 15)
(55, 1)
(12, 1)
(30, 15)
(56, 12)
(12, 2)
(10, 0)
(7, 7)
(12, 3)
(33, 9)
(19, 11)
(12, 4)
(60, 9)
(40, 14)
